Week,Day,Date,Time,home,away,home_score,away_score,GameTime,SearchStartTime,SearchEndTime
15,Sun,2022-12-18,1:00PM,jaguars,cowboys,,,2022-12-18 18:00:00+00:00,2022-12-14 17:00:00+00:00,2022-12-18 17:00:00+00:00
15,Sun,2022-12-18,4:05PM,broncos,cardinals,,,2022-12-18 21:05:00+00:00,2022-12-14 20:05:00+00:00,2022-12-18 20:05:00+00:00
15,Sun,2022-12-18,4:25PM,buccaneers,bengals,,,2022-12-18 21:25:00+00:00,2022-12-14 20:25:00+00:00,2022-12-18 20:25:00+00:00
15,Sun,2022-12-18,4:25PM,chargers,titans,,,2022-12-18 21:25:00+00:00,2022-12-14 20:25:00+00:00,2022-12-18 20:25:00+00:00
15,Sun,2022-12-18,8:20PM,raiders,patriots,,,2022-12-19 01:20:00+00:00,2022-12-15 00:20:00+00:00,2022-12-19 00:20:00+00:00
15,Mon,2022-12-19,8:15PM,packers,rams,,,2022-12-20 01:15:00+00:00,2022-12-16 00:15:00+00:00,2022-12-20 00:15:00+00:00
16,Thu,2022-12-22,8:15PM,jets,jaguars,,,2022-12-23 01:15:00+00:00,2022-12-19 00:15:00+00:00,2022-12-23 00:15:00+00:00
16,Sat,2022-12-24,1:00PM,titans,texans,,,2022-12-24 18:00:00+00:00,2022-12-20 17:00:00+00:00,2022-12-24 17:00:00+00:00
16,Sat,2022-12-24,1:00PM,panthers,lions,,,2022-12-24 18:00:00+00:00,2022-12-20 17:00:00+00:00,2022-12-24 17:00:00+00:00
16,Sat,2022-12-24,1:00PM,chiefs,seahawks,,,2022-12-24 18:00:00+00:00,2022-12-20 17:00:00+00:00,2022-12-24 17:00:00+00:00
16,Sat,2022-12-24,1:00PM,vikings,giants,,,2022-12-24 18:00:00+00:00,2022-12-20 17:00:00+00:00,2022-12-24 17:00:00+00:00
16,Sat,2022-12-24,1:00PM,patriots,bengals,,,2022-12-24 18:00:00+00:00,2022-12-20 17:00:00+00:00,2022-12-24 17:00:00+00:00
16,Sat,2022-12-24,1:00PM,browns,saints,,,2022-12-24 18:00:00+00:00,2022-12-20 17:00:00+00:00,2022-12-24 17:00:00+00:00
16,Sat,2022-12-24,1:00PM,bears,bills,,,2022-12-24 18:00:00+00:00,2022-12-20 17:00:00+00:00,2022-12-24 17:00:00+00:00
16,Sat,2022-12-24,1:00PM,ravens,falcons,,,2022-12-24 18:00:00+00:00,2022-12-20 17:00:00+00:00,2022-12-24 17:00:00+00:00
16,Sat,2022-12-24,4:05PM,49ers,commanders,,,2022-12-24 21:05:00+00:00,2022-12-20 20:05:00+00:00,2022-12-24 20:05:00+00:00
16,Sat,2022-12-24,4:25PM,cowboys,eagles,,,2022-12-24 21:25:00+00:00,2022-12-20 20:25:00+00:00,2022-12-24 20:25:00+00:00
16,Sat,2022-12-24,8:15PM,steelers,raiders,,,2022-12-25 01:15:00+00:00,2022-12-21 00:15:00+00:00,2022-12-25 00:15:00+00:00
16,Sun,2022-12-25,1:00PM,dolphins,packers,,,2022-12-25 18:00:00+00:00,2022-12-21 17:00:00+00:00,2022-12-25 17:00:00+00:00
16,Sun,2022-12-25,4:30PM,rams,broncos,,,2022-12-25 21:30:00+00:00,2022-12-21 20:30:00+00:00,2022-12-25 20:30:00+00:00
16,Sun,2022-12-25,8:20PM,cardinals,buccaneers,,,2022-12-26 01:20:00+00:00,2022-12-22 00:20:00+00:00,2022-12-26 00:20:00+00:00
16,Mon,2022-12-26,8:15PM,colts,chargers,,,2022-12-27 01:15:00+00:00,2022-12-23 00:15:00+00:00,2022-12-27 00:15:00+00:00
17,Thu,2022-12-29,8:15PM,titans,cowboys,,,2022-12-30 01:15:00+00:00,2022-12-26 00:15:00+00:00,2022-12-30 00:15:00+00:00
17,Sun,2023-01-01,1:00PM,eagles,saints,,,2023-01-01 18:00:00+00:00,2022-12-28 17:00:00+00:00,2023-01-01 17:00:00+00:00
17,Sun,2023-01-01,1:00PM,buccaneers,panthers,,,2023-01-01 18:00:00+00:00,2022-12-28 17:00:00+00:00,2023-01-01 17:00:00+00:00
17,Sun,2023-01-01,1:00PM,lions,bears,,,2023-01-01 18:00:00+00:00,2022-12-28 17:00:00+00:00,2023-01-01 17:00:00+00:00
17,Sun,2023-01-01,1:00PM,commanders,browns,,,2023-01-01 18:00:00+00:00,2022-12-28 17:00:00+00:00,2023-01-01 17:00:00+00:00
17,Sun,2023-01-01,1:00PM,giants,colts,,,2023-01-01 18:00:00+00:00,2022-12-28 17:00:00+00:00,2023-01-01 17:00:00+00:00
17,Sun,2023-01-01,1:00PM,falcons,cardinals,,,2023-01-01 18:00:00+00:00,2022-12-28 17:00:00+00:00,2023-01-01 17:00:00+00:00
17,Sun,2023-01-01,1:00PM,ravens,steelers,,,2023-01-01 18:00:00+00:00,2022-12-28 17:00:00+00:00,2023-01-01 17:00:00+00:00
17,Sun,2023-01-01,1:00PM,chiefs,broncos,,,2023-01-01 18:00:00+00:00,2022-12-28 17:00:00+00:00,2023-01-01 17:00:00+00:00
17,Sun,2023-01-01,1:00PM,patriots,dolphins,,,2023-01-01 18:00:00+00:00,2022-12-28 17:00:00+00:00,2023-01-01 17:00:00+00:00
17,Sun,2023-01-01,1:00PM,texans,jaguars,,,2023-01-01 18:00:00+00:00,2022-12-28 17:00:00+00:00,2023-01-01 17:00:00+00:00
17,Sun,2023-01-01,4:05PM,raiders,49ers,,,2023-01-01 21:05:00+00:00,2022-12-28 20:05:00+00:00,2023-01-01 20:05:00+00:00
17,Sun,2023-01-01,4:05PM,seahawks,jets,,,2023-01-01 21:05:00+00:00,2022-12-28 20:05:00+00:00,2023-01-01 20:05:00+00:00
17,Sun,2023-01-01,4:25PM,packers,vikings,,,2023-01-01 21:25:00+00:00,2022-12-28 20:25:00+00:00,2023-01-01 20:25:00+00:00
17,Sun,2023-01-01,8:20PM,chargers,rams,,,2023-01-02 01:20:00+00:00,2022-12-29 00:20:00+00:00,2023-01-02 00:20:00+00:00
17,Mon,2023-01-02,8:30PM,bengals,bills,,,2023-01-03 01:30:00+00:00,2022-12-30 00:30:00+00:00,2023-01-03 00:30:00+00:00
18,Sun,2023-01-08,1:00PM,seahawks,rams,,,2023-01-08 18:00:00+00:00,2023-01-04 17:00:00+00:00,2023-01-08 17:00:00+00:00
18,Sun,2023-01-08,1:00PM,49ers,cardinals,,,2023-01-08 18:00:00+00:00,2023-01-04 17:00:00+00:00,2023-01-08 17:00:00+00:00
18,Sun,2023-01-08,1:00PM,dolphins,jets,,,2023-01-08 18:00:00+00:00,2023-01-04 17:00:00+00:00,2023-01-08 17:00:00+00:00
18,Sun,2023-01-08,1:00PM,bengals,ravens,,,2023-01-08 18:00:00+00:00,2023-01-04 17:00:00+00:00,2023-01-08 17:00:00+00:00
18,Sun,2023-01-08,1:00PM,raiders,chiefs,,,2023-01-08 18:00:00+00:00,2023-01-04 17:00:00+00:00,2023-01-08 17:00:00+00:00
18,Sun,2023-01-08,1:00PM,commanders,cowboys,,,2023-01-08 18:00:00+00:00,2023-01-04 17:00:00+00:00,2023-01-08 17:00:00+00:00
18,Sun,2023-01-08,1:00PM,broncos,chargers,,,2023-01-08 18:00:00+00:00,2023-01-04 17:00:00+00:00,2023-01-08 17:00:00+00:00
18,Sun,2023-01-08,1:00PM,steelers,browns,,,2023-01-08 18:00:00+00:00,2023-01-04 17:00:00+00:00,2023-01-08 17:00:00+00:00
18,Sun,2023-01-08,1:00PM,jaguars,titans,,,2023-01-08 18:00:00+00:00,2023-01-04 17:00:00+00:00,2023-01-08 17:00:00+00:00
18,Sun,2023-01-08,1:00PM,eagles,giants,,,2023-01-08 18:00:00+00:00,2023-01-04 17:00:00+00:00,2023-01-08 17:00:00+00:00
18,Sun,2023-01-08,1:00PM,colts,texans,,,2023-01-08 18:00:00+00:00,2023-01-04 17:00:00+00:00,2023-01-08 17:00:00+00:00
18,Sun,2023-01-08,1:00PM,saints,panthers,,,2023-01-08 18:00:00+00:00,2023-01-04 17:00:00+00:00,2023-01-08 17:00:00+00:00
18,Sun,2023-01-08,1:00PM,bears,vikings,,,2023-01-08 18:00:00+00:00,2023-01-04 17:00:00+00:00,2023-01-08 17:00:00+00:00
18,Sun,2023-01-08,1:00PM,falcons,buccaneers,,,2023-01-08 18:00:00+00:00,2023-01-04 17:00:00+00:00,2023-01-08 17:00:00+00:00
18,Sun,2023-01-08,1:00PM,bills,patriots,,,2023-01-08 18:00:00+00:00,2023-01-04 17:00:00+00:00,2023-01-08 17:00:00+00:00
18,Sun,2023-01-08,1:00PM,packers,lions,,,2023-01-08 18:00:00+00:00,2023-01-04 17:00:00+00:00,2023-01-08 17:00:00+00:00
