,team,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,spread,def_rush_att,def_rush_tds,off_rush_att,off_rush_tds,def_pass_cmp,def_pass_att,def_pass_tds,def_pass_ints,off_pass_cmp,off_pass_att,off_pass_tds,off_pass_ints,def_sacks,def_sack_yds,tm_penalty,tm_penalty_yds,opp_penalty,opp_penalty_yds
39,colts,2,Sun,September 18,away,jaguars,0,24,16,30,164,0,3,5,31,6.5,4.7,53.3,29.7,13,54,4.2,0,0,0,2,10,0,2,21:45,2,0-1-1,9,3.0,21,331,235,96,,-20.67,-7.05,3.43,-3.0,37,1,13,0,25,30,2,0,16,30,0,3,0,0,5,30,3,19
40,lions,2,Sun,September 18,home,commanders,36,27,20,34,234,4,0,3,22,7.5,6.3,58.8,119.0,24,191,8.0,0,2,2,4,13,0,2,27:57,2,1-1,17,,21,396,308,88,1.0,7.13,-5.79,10.29,1.5,21,1,24,0,30,46,3,1,20,34,4,0,5,29,1,5,2,17
41,commanders,2,Sun,September 18,away,lions,27,36,30,46,308,3,1,5,29,7.3,6.0,65.2,97.0,21,88,4.2,1,0,0,7,15,1,2,32:03,2,1-1,21,1.0,17,425,234,191,,5.79,-7.13,-10.29,-1.5,24,0,21,1,20,34,4,0,30,46,3,1,3,22,2,17,1,5
42,ravens,2,Sun,September 18,home,dolphins,38,42,21,29,318,3,0,0,0,11.0,11.0,72.4,142.6,25,155,6.2,1,1,1,3,10,1,3,25:13,2,1-1,23,,27,547,461,86,2.0,20.31,-32.0,7.09,3.5,18,0,25,1,36,50,6,2,21,29,3,0,1,8,1,5,8,51
43,dolphins,2,Sun,September 18,away,ravens,42,38,36,50,461,6,2,1,8,9.4,9.0,72.0,123.4,18,86,4.8,0,0,0,7,11,2,2,34:47,2,2-0,27,2.0,23,473,318,155,,32.0,-20.31,-7.09,-3.5,25,1,18,0,21,29,3,0,36,50,6,2,0,0,8,51,1,5
44,saints,2,Sun,September 18,home,buccaneers,10,20,25,40,208,1,3,6,28,5.9,4.5,62.5,52.9,20,100,5.0,0,1,1,4,13,0,1,30:18,2,1-1,18,5.0,13,260,188,72,1.0,-18.41,9.2,-2.71,2.5,30,0,20,0,18,34,1,0,25,40,1,3,1,2,9,60,8,101
45,buccaneers,2,Sun,September 18,away,saints,20,10,18,34,188,1,0,1,2,5.6,5.4,52.9,79.0,30,72,2.4,0,2,2,5,17,0,1,29:42,2,2-0,13,1.0,18,308,208,100,5.0,-9.2,18.41,2.71,-2.5,20,0,30,0,25,40,1,3,18,34,1,0,6,28,8,101,9,60
46,steelers,2,Sun,September 18,home,patriots,14,17,21,33,152,1,1,3,16,5.1,4.2,63.6,71.8,22,91,4.1,0,2,2,8,15,0,0,26:24,2,1-1,16,2.0,18,376,252,124,1.0,-3.44,-6.14,3.25,2.5,31,1,22,0,21,35,1,1,21,33,1,1,0,0,3,20,7,55
47,patriots,2,Sun,September 18,away,steelers,17,14,21,35,252,1,1,0,0,7.2,7.2,60.0,79.7,31,124,4.0,1,1,2,9,17,0,0,33:36,2,1-1,18,1.0,16,243,152,91,2.0,6.14,3.44,-3.25,-2.5,22,0,31,1,21,33,1,1,21,35,1,1,3,16,7,55,3,20
48,rams,2,Sun,September 18,home,falcons,31,27,27,36,272,3,2,1,0,7.6,7.4,75.0,100.7,26,65,2.5,1,1,1,6,10,0,1,30:24,2,1-1,24,3.0,17,261,171,90,3.0,8.46,3.49,-8.11,10.0,27,0,26,1,17,26,2,2,27,36,3,2,3,25,3,61,5,29
49,falcons,2,Sun,September 18,away,rams,27,31,17,26,171,2,2,3,25,7.5,5.9,65.4,77.6,27,90,3.3,0,1,2,3,10,1,2,29:36,2,0-2,17,3.0,24,337,272,65,3.0,-3.49,-8.46,8.11,-10.0,26,1,27,0,27,36,3,2,17,26,2,2,1,0,5,29,3,61
